Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,070246,1977,10,4.0,Y
IDCJAC0001,070246,1977,11,12.8,Y
IDCJAC0001,070246,1977,12,16.2,Y
IDCJAC0001,070246,1978,01,165.8,Y
IDCJAC0001,070246,1978,02,0.0,Y
IDCJAC0001,070246,1978,03,119.0,Y
IDCJAC0001,070246,1978,04,41.0,Y
IDCJAC0001,070246,1978,05,72.2,Y
IDCJAC0001,070246,1978,06,43.1,Y
IDCJAC0001,070246,1978,07,55.0,Y
IDCJAC0001,070246,1978,08,17.3,Y
IDCJAC0001,070246,1978,09,164.0,Y
IDCJAC0001,070246,1978,10,30.2,Y
IDCJAC0001,070246,1978,11,61.4,Y
IDCJAC0001,070246,1978,12,67.8,Y
IDCJAC0001,070246,1979,01,5.4,Y
IDCJAC0001,070246,1979,02,4.8,Y
IDCJAC0001,070246,1979,03,106.7,Y
IDCJAC0001,070246,1979,04,67.5,Y
IDCJAC0001,070246,1979,05,16.1,Y
IDCJAC0001,070246,1979,06,5.0,Y
IDCJAC0001,070246,1979,07,9.2,Y
IDCJAC0001,070246,1979,08,45.6,Y
IDCJAC0001,070246,1979,09,45.6,Y
IDCJAC0001,070246,1979,10,45.0,Y
IDCJAC0001,070246,1979,11,51.3,Y
IDCJAC0001,070246,1979,12,1.0,Y
IDCJAC0001,070246,1980,01,88.4,Y
IDCJAC0001,070246,1980,02,32.4,Y
IDCJAC0001,070246,1980,03,14.2,Y
IDCJAC0001,070246,1980,04,2.0,Y
IDCJAC0001,070246,1980,05,54.2,Y
IDCJAC0001,070246,1980,06,41.2,Y
IDCJAC0001,070246,1980,07,35.8,Y
IDCJAC0001,070246,1980,08,25.4,Y
IDCJAC0001,070246,1980,09,33.5,Y
IDCJAC0001,070246,1980,10,53.0,Y
IDCJAC0001,070246,1980,11,61.0,Y
IDCJAC0001,070246,1980,12,84.0,Y
IDCJAC0001,070246,1981,01,23.6,Y
IDCJAC0001,070246,1981,02,136.4,Y
IDCJAC0001,070246,1981,03,27.0,Y
IDCJAC0001,070246,1981,04,17.0,Y
IDCJAC0001,070246,1981,05,50.6,Y
IDCJAC0001,070246,1981,06,114.2,Y
IDCJAC0001,070246,1981,07,86.2,Y
IDCJAC0001,070246,1981,08,64.4,Y
IDCJAC0001,070246,1981,09,23.4,Y
IDCJAC0001,070246,1981,10,33.6,Y
IDCJAC0001,070246,1981,11,47.2,Y
IDCJAC0001,070246,1981,12,38.2,Y
IDCJAC0001,070246,1982,01,17.6,Y
IDCJAC0001,070246,1982,02,20.0,Y
IDCJAC0001,070246,1982,03,117.0,Y
IDCJAC0001,070246,1982,04,14.2,Y
IDCJAC0001,070246,1982,05,1.0,Y
IDCJAC0001,070246,1982,06,16.0,Y
IDCJAC0001,070246,1982,07,4.8,Y
IDCJAC0001,070246,1982,08,13.4,Y
IDCJAC0001,070246,1982,09,70.6,Y
IDCJAC0001,070246,1982,10,12.4,Y
IDCJAC0001,070246,1982,11,0.0,Y
IDCJAC0001,070246,1982,12,27.1,Y
IDCJAC0001,070246,1983,01,34.0,Y
IDCJAC0001,070246,1983,02,22.5,Y
IDCJAC0001,070246,1983,03,66.6,Y
IDCJAC0001,070246,1983,04,61.4,Y
IDCJAC0001,070246,1983,05,110.2,Y
IDCJAC0001,070246,1983,06,40.2,Y
IDCJAC0001,070246,1983,07,41.2,Y
IDCJAC0001,070246,1983,08,63.6,Y
IDCJAC0001,070246,1983,09,69.2,Y
IDCJAC0001,070246,1983,10,123.2,Y
IDCJAC0001,070246,1983,11,137.2,Y
IDCJAC0001,070246,1983,12,120.8,Y
IDCJAC0001,070246,1984,01,220.2,Y
IDCJAC0001,070246,1984,02,53.7,Y
IDCJAC0001,070246,1984,03,29.8,Y
IDCJAC0001,070246,1984,04,102.8,Y
IDCJAC0001,070246,1984,05,23.8,Y
IDCJAC0001,070246,1984,06,7.8,Y
IDCJAC0001,070246,1984,07,107.4,Y
IDCJAC0001,070246,1984,08,71.0,Y
IDCJAC0001,070246,1984,09,65.4,Y
IDCJAC0001,070246,1984,10,51.8,Y
IDCJAC0001,070246,1984,11,42.6,Y
IDCJAC0001,070246,1984,12,29.1,Y
IDCJAC0001,070246,1985,01,4.2,Y
IDCJAC0001,070246,1985,02,8.4,Y
IDCJAC0001,070246,1985,03,60.4,Y
IDCJAC0001,070246,1985,04,19.9,Y
IDCJAC0001,070246,1985,05,48.0,Y
IDCJAC0001,070246,1985,06,46.6,Y
IDCJAC0001,070246,1985,07,43.3,Y
IDCJAC0001,070246,1985,08,110.0,Y
IDCJAC0001,070246,1985,09,69.8,Y
