Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086232,1975,03,74.3,Y
IDCJAC0001,086232,1975,04,22.6,Y
IDCJAC0001,086232,1975,05,45.1,Y
IDCJAC0001,086232,1975,06,27.4,Y
IDCJAC0001,086232,1975,07,48.9,Y
IDCJAC0001,086232,1975,08,106.4,Y
IDCJAC0001,086232,1975,09,104.5,Y
IDCJAC0001,086232,1975,10,162.8,Y
IDCJAC0001,086232,1975,11,65.6,Y
IDCJAC0001,086232,1975,12,66.8,Y
IDCJAC0001,086232,1976,01,17.0,Y
IDCJAC0001,086232,1976,02,17.8,Y
IDCJAC0001,086232,1976,03,34.2,Y
IDCJAC0001,086232,1976,04,38.5,Y
IDCJAC0001,086232,1976,05,23.8,Y
IDCJAC0001,086232,1976,06,29.7,Y
IDCJAC0001,086232,1976,07,17.4,Y
IDCJAC0001,086232,1976,08,57.2,Y
IDCJAC0001,086232,1976,09,59.6,Y
IDCJAC0001,086232,1976,10,99.2,Y
IDCJAC0001,086232,1976,11,105.2,Y
IDCJAC0001,086232,1976,12,36.6,Y
IDCJAC0001,086232,1977,01,92.0,Y
IDCJAC0001,086232,1977,02,35.6,Y
IDCJAC0001,086232,1977,03,21.4,Y
IDCJAC0001,086232,1977,04,84.1,Y
IDCJAC0001,086232,1977,05,74.2,Y
IDCJAC0001,086232,1977,06,116.4,Y
IDCJAC0001,086232,1977,07,55.0,Y
IDCJAC0001,086232,1977,08,31.8,Y
IDCJAC0001,086232,1977,09,75.8,Y
IDCJAC0001,086232,1977,10,33.6,Y
IDCJAC0001,086232,1977,11,39.6,Y
IDCJAC0001,086232,1977,12,27.2,Y
IDCJAC0001,086232,1978,01,51.6,Y
IDCJAC0001,086232,1978,02,42.4,Y
IDCJAC0001,086232,1978,03,78.4,Y
IDCJAC0001,086232,1978,04,58.2,Y
IDCJAC0001,086232,1978,05,121.4,Y
IDCJAC0001,086232,1978,06,25.6,Y
IDCJAC0001,086232,1978,07,65.2,Y
IDCJAC0001,086232,1978,08,109.6,Y
IDCJAC0001,086232,1978,09,61.2,Y
IDCJAC0001,086232,1978,10,69.2,Y
IDCJAC0001,086232,1978,11,143.8,Y
IDCJAC0001,086232,1978,12,103.8,Y
IDCJAC0001,086232,1979,01,43.4,Y
IDCJAC0001,086232,1979,02,43.2,Y
IDCJAC0001,086232,1979,03,35.0,Y
IDCJAC0001,086232,1979,04,55.5,Y
IDCJAC0001,086232,1979,05,94.6,Y
IDCJAC0001,086232,1979,06,16.8,Y
IDCJAC0001,086232,1979,07,12.8,Y
IDCJAC0001,086232,1979,08,67.8,Y
IDCJAC0001,086232,1979,09,79.2,Y
IDCJAC0001,086232,1979,10,100.6,Y
IDCJAC0001,086232,1979,11,36.4,Y
IDCJAC0001,086232,1979,12,10.8,Y
IDCJAC0001,086232,1980,01,16.4,Y
IDCJAC0001,086232,1980,02,20.8,Y
IDCJAC0001,086232,1980,03,17.0,Y
IDCJAC0001,086232,1980,04,85.0,Y
IDCJAC0001,086232,1980,05,64.4,Y
IDCJAC0001,086232,1980,06,88.7,Y
IDCJAC0001,086232,1980,07,16.8,Y
IDCJAC0001,086232,1980,08,48.8,Y
IDCJAC0001,086232,1980,09,13.2,Y
IDCJAC0001,086232,1980,10,91.2,Y
IDCJAC0001,086232,1980,11,43.4,Y
IDCJAC0001,086232,1980,12,79.8,Y
IDCJAC0001,086232,1981,01,50.2,Y
IDCJAC0001,086232,1981,02,30.4,Y
IDCJAC0001,086232,1981,03,30.2,Y
IDCJAC0001,086232,1981,04,16.2,Y
IDCJAC0001,086232,1981,05,107.6,Y
IDCJAC0001,086232,1981,06,40.4,Y
IDCJAC0001,086232,1981,07,83.6,Y
IDCJAC0001,086232,1981,08,80.0,Y
IDCJAC0001,086232,1981,09,27.4,Y
IDCJAC0001,086232,1981,10,44.3,Y
IDCJAC0001,086232,1981,11,62.8,Y
IDCJAC0001,086232,1981,12,30.2,Y
IDCJAC0001,086232,1982,01,46.4,Y
IDCJAC0001,086232,1982,02,4.4,Y
IDCJAC0001,086232,1982,03,48.6,Y
IDCJAC0001,086232,1982,04,43.2,Y
IDCJAC0001,086232,1982,05,52.6,Y
IDCJAC0001,086232,1982,06,67.9,Y
IDCJAC0001,086232,1982,07,18.3,Y
IDCJAC0001,086232,1982,08,39.6,Y
IDCJAC0001,086232,1982,09,50.7,Y
IDCJAC0001,086232,1982,10,42.5,Y
IDCJAC0001,086232,1982,11,18.4,Y
IDCJAC0001,086232,1982,12,40.8,Y
IDCJAC0001,086232,1983,01,36.3,Y
IDCJAC0001,086232,1983,02,1.0,Y
IDCJAC0001,086232,1983,03,53.5,Y
IDCJAC0001,086232,1983,04,48.0,Y
IDCJAC0001,086232,1983,05,68.8,Y
IDCJAC0001,086232,1983,06,49.2,Y
IDCJAC0001,086232,1983,07,87.4,Y
IDCJAC0001,086232,1983,08,60.4,Y
IDCJAC0001,086232,1983,09,94.6,Y
IDCJAC0001,086232,1983,10,111.6,Y
IDCJAC0001,086232,1983,11,87.2,Y
IDCJAC0001,086232,1983,12,10.6,Y
IDCJAC0001,086232,1984,01,99.6,Y
IDCJAC0001,086232,1984,02,18.0,Y
IDCJAC0001,086232,1984,03,46.2,Y
IDCJAC0001,086232,1984,04,53.1,Y
IDCJAC0001,086232,1984,05,22.4,Y
IDCJAC0001,086232,1984,06,11.0,Y
IDCJAC0001,086232,1984,07,43.1,Y
IDCJAC0001,086232,1984,08,60.2,Y
IDCJAC0001,086232,1984,09,133.8,Y
IDCJAC0001,086232,1984,10,50.2,Y
IDCJAC0001,086232,1984,11,65.4,Y
IDCJAC0001,086232,1984,12,67.2,Y
IDCJAC0001,086232,1985,01,18.4,Y
IDCJAC0001,086232,1985,02,7.6,Y
IDCJAC0001,086232,1985,03,40.2,Y
IDCJAC0001,086232,1985,04,68.5,Y
IDCJAC0001,086232,1985,05,61.4,Y
IDCJAC0001,086232,1985,06,110.6,Y
IDCJAC0001,086232,1985,07,83.1,Y
IDCJAC0001,086232,1985,08,78.0,Y
