Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,014163,1918,04,37.8,Y
IDCJAC0001,014163,1918,05,11.6,Y
IDCJAC0001,014163,1918,09,2.5,Y
IDCJAC0001,014163,1918,10,7.7,Y
IDCJAC0001,014163,1918,11,58.9,Y
IDCJAC0001,014163,1918,12,279.7,Y
IDCJAC0001,014163,1919,01,447.9,Y
IDCJAC0001,014163,1919,02,114.4,Y
IDCJAC0001,014163,1919,03,496.6,Y
IDCJAC0001,014163,1919,04,149.8,Y
IDCJAC0001,014163,1919,08,9.9,Y
IDCJAC0001,014163,1919,09,19.5,Y
IDCJAC0001,014163,1919,10,28.9,Y
IDCJAC0001,014163,1919,11,77.4,Y
IDCJAC0001,014163,1919,12,146.0,Y
IDCJAC0001,014163,1920,01,513.6,Y
IDCJAC0001,014163,1920,02,295.6,Y
IDCJAC0001,014163,1920,03,134.2,Y
IDCJAC0001,014163,1920,09,6.4,Y
IDCJAC0001,014163,1920,10,102.9,Y
IDCJAC0001,014163,1920,11,240.4,Y
IDCJAC0001,014163,1920,12,318.5,Y
IDCJAC0001,014163,1921,01,299.2,Y
IDCJAC0001,014163,1921,02,334.5,Y
IDCJAC0001,014163,1921,03,328.2,Y
IDCJAC0001,014163,1921,04,50.5,Y
IDCJAC0001,014163,1960,01,0.0,Y
IDCJAC0001,014163,1967,07,0.0,Y
IDCJAC0001,014163,1967,08,0.0,Y
IDCJAC0001,014163,1967,09,1.3,Y
IDCJAC0001,014163,1967,10,5.0,Y
IDCJAC0001,014163,1967,11,100.2,Y
IDCJAC0001,014163,1967,12,124.8,Y
IDCJAC0001,014163,1968,01,531.6,Y
IDCJAC0001,014163,1968,02,692.4,Y
IDCJAC0001,014163,1968,03,250.0,Y
IDCJAC0001,014163,1968,04,99.1,Y
IDCJAC0001,014163,1968,05,342.1,Y
IDCJAC0001,014163,1968,10,114.1,Y
IDCJAC0001,014163,1968,11,138.9,Y
IDCJAC0001,014163,1968,12,252.8,Y
IDCJAC0001,014163,1969,01,508.0,Y
IDCJAC0001,014163,1969,02,766.9,Y
IDCJAC0001,014163,1969,03,270.6,Y
IDCJAC0001,014163,1969,04,27.0,Y
IDCJAC0001,014163,1969,05,15.8,Y
IDCJAC0001,014163,1969,06,0.0,Y
IDCJAC0001,014163,1969,07,1.0,Y
IDCJAC0001,014163,1969,08,0.0,Y
IDCJAC0001,014163,1969,09,14.2,Y
IDCJAC0001,014163,1969,10,135.6,Y
IDCJAC0001,014163,1969,11,31.0,Y
IDCJAC0001,014163,1969,12,177.1,Y
IDCJAC0001,014163,1970,01,229.4,Y
IDCJAC0001,014163,1970,02,347.4,Y
IDCJAC0001,014163,1970,03,107.6,Y
IDCJAC0001,014163,1970,04,28.8,Y
IDCJAC0001,014163,1970,05,17.8,Y
IDCJAC0001,014163,1970,06,0.0,Y
IDCJAC0001,014163,1970,07,0.0,Y
IDCJAC0001,014163,1970,08,0.0,Y
IDCJAC0001,014163,1970,09,23.9,Y
IDCJAC0001,014163,1970,10,88.5,Y
IDCJAC0001,014163,1970,11,117.8,Y
IDCJAC0001,014163,1970,12,210.1,Y
IDCJAC0001,014163,1971,01,415.8,Y
IDCJAC0001,014163,1971,02,193.5,Y
IDCJAC0001,014163,1971,03,568.3,Y
IDCJAC0001,014163,1971,04,289.5,Y
IDCJAC0001,014163,1971,05,0.5,Y
IDCJAC0001,014163,1971,06,0.0,Y
IDCJAC0001,014163,1971,07,0.0,Y
IDCJAC0001,014163,1971,08,0.0,Y
IDCJAC0001,014163,1971,09,13.0,Y
IDCJAC0001,014163,1971,10,100.4,Y
IDCJAC0001,014163,1971,11,98.0,Y
IDCJAC0001,014163,1971,12,349.5,Y
IDCJAC0001,014163,1972,01,209.9,Y
IDCJAC0001,014163,1972,02,437.2,Y
IDCJAC0001,014163,1972,03,317.1,Y
IDCJAC0001,014163,1972,04,54.2,Y
IDCJAC0001,014163,1972,05,21.3,Y
IDCJAC0001,014163,1972,06,1.3,Y
IDCJAC0001,014163,1972,07,0.0,Y
IDCJAC0001,014163,1972,08,6.1,Y
IDCJAC0001,014163,1972,09,37.2,Y
IDCJAC0001,014163,1972,10,71.2,Y
IDCJAC0001,014163,1972,11,126.5,Y
IDCJAC0001,014163,1972,12,200.2,Y
IDCJAC0001,014163,1973,01,562.6,Y
IDCJAC0001,014163,1973,02,141.0,Y
IDCJAC0001,014163,1973,03,413.1,Y
IDCJAC0001,014163,1973,04,29.2,Y
IDCJAC0001,014163,1973,05,20.3,Y
IDCJAC0001,014163,1973,06,91.3,Y
IDCJAC0001,014163,1973,07,0.0,Y
IDCJAC0001,014163,1973,08,0.0,Y
IDCJAC0001,014163,1973,09,12.5,Y
IDCJAC0001,014163,1973,10,81.0,Y
IDCJAC0001,014163,1973,11,126.5,Y
IDCJAC0001,014163,1973,12,346.2,Y
IDCJAC0001,014163,1974,01,636.6,Y
IDCJAC0001,014163,1974,02,308.2,Y
IDCJAC0001,014163,1974,03,419.5,Y
IDCJAC0001,014163,1974,04,66.8,Y
IDCJAC0001,014163,1974,05,0.0,Y
IDCJAC0001,014163,1974,06,0.0,Y
IDCJAC0001,014163,1974,07,0.0,Y
IDCJAC0001,014163,1974,08,20.1,Y
IDCJAC0001,014163,1974,09,55.4,Y
IDCJAC0001,014163,1974,10,54.3,Y
IDCJAC0001,014163,1974,11,117.9,Y
IDCJAC0001,014163,1974,12,271.6,Y
IDCJAC0001,014163,1975,01,247.6,Y
IDCJAC0001,014163,1975,02,533.8,Y
