station_name,url
Charlton,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94839.json
HopetounAirport,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94838.json
Kerang,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94844.json
Mildura,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94693.json
SwanHill,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94843.json
Walpeup,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95831.json
Edenhope,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95832.json
Horsham,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95839.json
Kanagulk,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95827.json
Longerenong,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95835.json
NhillAerodrome,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94827.json
Stawell,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94836.json
WarracknabealAirport,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94920.json
Ararat,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94834.json
BenNevis,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94835.json
CapeNelson,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94826.json
CapeOtway,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94842.json
Casterton,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95825.json
Dartmoor,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95822.json
Hamilton,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94829.json
Mortlake,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94840.json
MountGellibrand,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95845.json
MountWilliam,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94833.json
PortFairy,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94830.json
PortlandAirport,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94828.json
PortlandHarbour,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95826.json
Warrnambool,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94837.json
Westmere,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95840.json
AireysInlet,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94846.json
Avalon,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94854.json
Ballarat,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94852.json
Cerberus,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94898.json
Coldstream,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94864.json
EssendonAirport,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95866.json
FawknerBeacon,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95872.json
FernyCreek,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94872.json
Frankston(BallamPark),http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94876.json
FrankstonBeach,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94871.json
GeelongRacecourse,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94857.json
Laverton,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94865.json
MelbourneAirport,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94866.json
Melbourne(OlympicPark),http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95936.json
MoorabbinAirport,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94870.json
PointCook,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95941.json
PointWilson,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94847.json
PoundCreek,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94886.json
Rhyll,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94892.json
Scoresby,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95867.json
Sheoaks,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94863.json
SouthChannelIsland,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94853.json
StKildaHarbourRMYS,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95864.json
Viewbank,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95874.json
Bendigo,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94855.json
Echuca,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94861.json
Kyabram,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95833.json
Mangalore,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94874.json
Redesdale,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94859.json
Shepparton,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94875.json
Strathbogie,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95843.json
Tatura,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95836.json
Yarrawonga,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94862.json
Albury,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95896.json
Benalla,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94884.json
FallsCreek,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94903.json
HuntersHill,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94878.json
LakeDartmouth,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94888.json
MountBuller,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94894.json
MountHothamAirport,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94905.json
MountHotham,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94906.json
Rutherglen,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95837.json
Wangaratta,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94889.json
EildonFireTower,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94881.json
KilmoreGap,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94860.json
LakeEildon,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94882.json
Maryborough,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94849.json
Puckapunyal-LyonHill(Defence),http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94858.json
PuckapunyalWest(Defence),http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94856.json
EastSaleAirport,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95907.json
HoganIsland,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94949.json
LatrobeValley,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94891.json
MountBawBaw,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95901.json
MountMoornapa,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95913.json
Warragul(NilmaNorth),http://reg.bom.gov.au/fwo/IDV60801/IDV60801.99806.json
WilsonsPromontory,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94893.json
Yanakie,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94911.json
YarramAirport,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95890.json
Bairnsdale,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94912.json
Combienbar,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94914.json
GaboIsland,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94933.json
Gelantipy,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94913.json
LakesEntrance,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95904.json
Mallacoota,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94935.json
MountNowaNowa,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94930.json
Omeo,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.94908.json
Orbost,http://reg.bom.gov.au/fwo/IDV60801/IDV60801.95918.json
