Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,070351,2018,04,25.0,Y
IDCJAC0002,070351,2018,05,17.5,Y
IDCJAC0002,070351,2018,06,13.2,Y
IDCJAC0002,070351,2018,07,13.3,Y
IDCJAC0002,070351,2018,08,13.9,Y
IDCJAC0002,070351,2018,09,18.0,Y
IDCJAC0002,070351,2018,10,22.8,Y
IDCJAC0002,070351,2018,11,24.5,Y
IDCJAC0002,070351,2018,12,29.3,Y
IDCJAC0002,070351,2019,01,34.5,Y
IDCJAC0002,070351,2019,02,29.1,Y
IDCJAC0002,070351,2019,03,26.0,Y
IDCJAC0002,070351,2019,04,22.6,Y
IDCJAC0002,070351,2019,05,16.6,Y
IDCJAC0002,070351,2019,06,14.1,Y
IDCJAC0002,070351,2019,07,13.7,Y
IDCJAC0002,070351,2019,08,14.2,Y
IDCJAC0002,070351,2019,09,18.8,Y
IDCJAC0002,070351,2019,10,23.6,Y
IDCJAC0002,070351,2019,11,26.8,Y
IDCJAC0002,070351,2019,12,31.7,Y
IDCJAC0002,070351,2020,01,31.7,Y
IDCJAC0002,070351,2020,02,27.7,Y
IDCJAC0002,070351,2020,03,23.4,Y
IDCJAC0002,070351,2020,04,18.9,Y
IDCJAC0002,070351,2020,05,15.0,Y
IDCJAC0002,070351,2020,06,13.5,Y
IDCJAC0002,070351,2020,07,13.2,Y
IDCJAC0002,070351,2020,08,12.8,Y
IDCJAC0002,070351,2020,09,17.6,Y
IDCJAC0002,070351,2020,10,20.3,Y
IDCJAC0002,070351,2020,11,25.1,Y
IDCJAC0002,070351,2020,12,25.4,Y
IDCJAC0002,070351,2021,01,28.1,Y
IDCJAC0002,070351,2021,02,26.1,Y
IDCJAC0002,070351,2021,03,23.0,Y
IDCJAC0002,070351,2021,04,20.8,Y
IDCJAC0002,070351,2021,05,16.4,Y
IDCJAC0002,070351,2021,06,12.9,Y
IDCJAC0002,070351,2021,07,11.9,Y
IDCJAC0002,070351,2021,08,14.7,Y
IDCJAC0002,070351,2021,09,17.3,Y
IDCJAC0002,070351,2021,10,19.2,Y
IDCJAC0002,070351,2021,11,20.2,Y
IDCJAC0002,070351,2021,12,25.2,Y
IDCJAC0002,070351,2022,01,26.9,Y
IDCJAC0002,070351,2022,02,26.2,Y
IDCJAC0002,070351,2022,03,24.0,Y
IDCJAC0002,070351,2022,04,20.0,Y
IDCJAC0002,070351,2022,05,16.1,Y
IDCJAC0002,070351,2022,06,12.0,Y
IDCJAC0002,070351,2022,07,12.7,Y
IDCJAC0002,070351,2022,08,14.1,Y
IDCJAC0002,070351,2022,09,16.2,Y
IDCJAC0002,070351,2022,10,18.3,Y
IDCJAC0002,070351,2022,11,20.7,Y
IDCJAC0002,070351,2022,12,23.9,Y
IDCJAC0002,070351,2023,01,27.6,Y
IDCJAC0002,070351,2023,02,27.7,Y
IDCJAC0002,070351,2023,03,25.5,Y
IDCJAC0002,070351,2023,04,19.6,Y
IDCJAC0002,070351,2023,05,15.0,Y
IDCJAC0002,070351,2023,06,13.1,Y
IDCJAC0002,070351,2023,07,14.5,Y
IDCJAC0002,070351,2023,08,15.7,Y
IDCJAC0002,070351,2023,09,20.9,Y
IDCJAC0002,070351,2023,10,21.9,Y
IDCJAC0002,070351,2023,11,25.5,Y
IDCJAC0002,070351,2023,12,27.1,Y
IDCJAC0002,070351,2024,01,27.1,Y
IDCJAC0002,070351,2024,02,28.1,Y
IDCJAC0002,070351,2024,03,27.4,Y
